RS No.,Company Name,Business Registration No.,Registered Address,Office Contact Number,Office Fax Number,Office E-mail,Date of Registration,Expiry Date of Current Registration,Registered Trades (Code :: Specialty)
R005195,Allied Way Construction Engineering Limited,32520298,"Room B2, 4/F, Yip Fung Industrial Building, 28-36, Kwai Fung Crescent, Kwai Tsing, N.T.",24616832,24617585,leefatlf@gmail.com,23 Nov 2021,22 Nov 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Trenchless Construction) | 01.09 General Civil Works :: Others(Waterworks)
R005280,"Tak Wan Construction & Drilling Co., Limited",52150839,"Room 411, 4/F, Sun Cheong Industrial Building, 1, Cheung Shun Street, Sham Shui Po, Kowloon",27753228,27780328,office@takwan.com.hk,13 Dec 2023,12 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Plies) | 01.09 General Civil Works :: Ground investigation | 01.10 Other Structural and Civil Trades :: Others(Curtain Grouting)
R005833,"Win Win Way Construction Co., Limited",30168549,"Room 902-3, 9/F, Nan Fung Commercial Centre, 19, Lam Lok Street, Kowloon Bay, Kowloon",27070468,27070467,smlee@winwinway.com.hk,7 Jun 2024,6 Jun 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork
R006102,Link Concord Engineering Limited,34248751,"Room B, 1/F, Wai Yip Industrial Building, 171, Wai Yip Street, Kwun Tong, Kowloon",23892066,27903673,lc@falcon-const.com.hk,7 Nov 2024,6 Nov 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork
R006110,Smart City Engineering Limited,36515053,"Room 902-3, 09/F, Nan Fung Commercial Centre, 19, Lam Lok Street, Kowloon Bay, Kowloon",35210315,27074469,smartcityengltd@gmail.com,7 Nov 2022,6 Nov 2025,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R006688,China Geology (Hong Kong) Industry Limited,21049558,"Room 2421-25, 24/F, Sun Hung Kai Centre, 30, Harbour Road, Wanchai, Hong Kong",25119001,25800697,cgchk@cgchk.com.hk,18 Oct 2023,17 Oct 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R006994,China State Foundation Engineering Limited,12530936,"29/F, China Overseas Building, 139, Hennessy Road, Wanchai, Hong Kong",28625026,25282009,wendy_chau@cohl.com,3 May 2024,2 May 2027,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Grout Curtain) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 04.04 Hoarding
R007194,Y.H. Foundations Limited,60163852,"Units 1104-06, 11/F, Nan Fung Commercial Centre, 19, Lam Lok Street, Kwun Tong, Kowloon",39738038,35793018,info@yhfoundations.com.hk,17 Sep 2025,16 Sep 2028,01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles
R008885,Fairway Engineering (HK) Limited,37442396,"Unit 717, 7/F, Peninsula Centre, 67, Mody Road, Tsim Sha Tsui, Yau Tsim Mong, Kowloon",68718867,,hsk.fairway@yahoo.com.hk,24 Jun 2026,23 Jun 2029,01.02 Foundation and Piling :: Bored piles
R009017,Vicon Construction Company Limited,35979840,"Room D, 16/F, MG Tower, 133, Hoi Bun Road, Kwun Tong, Kowloon",27901612,27901610,admin@vicon.hk,26 Aug 2026,25 Aug 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Pre-bored Socketted H-Piles)
R009801,Gammon Engineering & Construction Company Limited,10523858,"22/F, Tower 1 and 2, The Quayside, 77, Hoi Bun Road, Kwun Tong, Kowloon",25168823,25166260,co.sec@gammonconstruction.com,19 Jul 2024,18 Jul 2027,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding
R009847,Winfield Engineering (Hong Kong) Limited,13677276,"Room B14, 8/F, Block B, Tonic Industrial Building,, 19, Lam Hing Street, Kowloon Bay, Kolwoon",28389928,27449407,info@winfield.hk,23 Aug 2024,22 Aug 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Ground investigation
R009909,Shanghai Tunnel (Hong Kong) Company Limited,31514418,"Room 2306-08A, 23/F, Island Place Tower, 510, King's Road, North Point, Central and Western, Hong Kong",21873680,21873682,iris.tsang@sucgi.hk,23 Aug 2024,22 Aug 2027,01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Others(Rock Socketed Steel H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Others(Pipe Jacking) | 01.09 General Civil Works :: Others(Tunnel Works )
R010151,ACE Construction Company Limited,66824791,"Room 4003-4004, 40/F, Tower 2, Metroplaza, 23, Hing Fong Road, Kwai Chung, Kwai Tsing, N.T.",24396328,24396018,lam713@hotmail.com,21 Nov 2025,20 Nov 2028,01.02 Foundation and Piling | 01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 02.04 Window Fabrication and Installation | 02.05 Shutters/Doors Fabrication and Installation :: Fire rated door | 02.06 Tanking and Waterproofing | 03.04 Electrical | 03.15 Plumbing | 04.04 Hoarding
R010194,Dethon Engineering Limited,68095841,"Room 2313-2315, 23/F, Hong Kong Plaza, 188, Connaught Road West, Central and Western, Hong Kong",51378441,24074600,chensx@fhdigz.com,19 Dec 2025,18 Dec 2028,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation
R010480,Wing Wo Geotechnical Eng. Limited,34576437,"Room A2, 8/F, TML Tower, 3, Hoi Shing Road, Tsuen Wan, N.T.",21916138,21916038,wingwo@wingwo.hk,23 May 2026,22 May 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Rock Socketed Steel H-Piles) | 01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Grouting Works)
R010684,Dong-Ah Geological Engineering Company Ltd.,63438755,"Room 21, 27/F, Tuen Mun Central Square, 22, Hoi Wing Road, Tuen Mun, N.T.",37021278,37021279,shmoon@dage.co.kr,12 Sep 2021,11 Sep 2026,01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.09 General Civil Works :: Marine works | 01.09 General Civil Works :: Ground investigation | 01.09 General Civil Works :: Others(Tunnel Works )
R010833,Ever Rich Construction Company Limited,69893579,"Room 2, 18/F, Block B, New Trade Plaza, No. 6, On Ping Street, Shatin, N.T.",26351780,26473998,er_alexlok@yahoo.com,19 Dec 2021,18 Dec 2026,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer
R010862,Boesan Foundation Engineering Company Limited,67800849,"Room 2901 & 2921, 29/F, New Tech Plaza, 34, Tai Yau Street, San Po Kong, Kowloon",37059673,37059671,boesanhk@gmail.com,1 Feb 2024,31 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Grout Curtain) | 01.02 Foundation and Piling :: Others(Socketed H-Piles) | 01.09 General Civil Works :: Earthwork
R010906,The Pressure Piling Co. (HongKong) Limited,00781410,"27/F, Tower 2, Enterprise Square Five, 38, Wang Chiu Road, Kwun Tong, Kowloon",24898919,24878919,peter.cheung@goldwave.hk,1 Feb 2024,31 Jan 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer
R011106,Progressive Building & Foundation Company Limited,59788330,"Flat 3, 17/F, Port 33, 33, Tseuk Luk Street, San Po Kong, Kowloon",27147411,27146411,admin@pfh.com.hk,31 May 2024,30 May 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socket H-piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R011253,Leader Foundation Work Limited,62447824,"Room 1004A, 10/F, East Ocean Centre, No. 98, Granville Road, Yau Tsim Mong, Kowloon",36221188,36221318,lermond@gmail.com,27 Aug 2024,26 Aug 2027,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed Steel H-Piles) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding
R011389,Chiu & Lee Partners Construction Co Ltd,07304544,"Room 1701, 17/F, Stelux House, 698, Prince Edward Road East, San Po Kong, Wong Tai Sin, Kowloon",21559690,21559691,ethantang@clpc.com.hk,29 Oct 2025,28 Oct 2028,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 04.04 Hoarding | 04.05 Temporary Water Supply Installations
R011450,Bo Yip Engineering Limited,68026896,"Room 2325, 23/F, Tuen Mun Central Plaza, 22, Hoi Wing Road, Tuen Mun, New Territories",95467634,,elainechung@boyipel.com,29 Oct 2024,28 Oct 2027,01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socketed H-Piles)
R012067,Technique Engineering (HK) Limited,69928839,"Room 2811B, 28/F, Cable TV Tower, 9, Hoi Shing Street, Tsuen Wan, N.T.",21520686,21520283,info@techniquehk.com,13 Jul 2026,12 Jul 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 03.04 Electrical | 04.04 Hoarding | 04.06 Temporary Electricity Installations
R012291,Full Gear Construction Company Limited,65248146,"Room 2105, 21/F, Saxon Tower, No. 7, Cheung Shun Street, Lai Chi Kok, Sham Shui Po, Kowloon",28908918,28908618,info@fullgearhk.com,19 Aug 2025,18 Aug 2028,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Road drainage and sewer | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation
R012443,Greatway Construction Engineering Limited,51455258,"Room B, 23/F, Centre Mark II, 305-313, Queen's Road Central, Central and Western, Hong Kong",23298160,23298162,info@kinpang.com,30 Sep 2025,29 Sep 2028,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles
R012833,Pioneer First Limited,70661696,"Room 12, 5/F, Harry Industrial Building, 49-51, Au Pui Wan Street, Fo Tan, Shatin, New Territories",60348288,31608469,ssc2628@gmail.com,11 Mar 2026,10 Mar 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.09 General Civil Works :: Earthwork
R012863,CCCC First Harbor Engineering Company Ltd.,71054789,"10/F, The Eastmark, 21號, Sheung Yuet Road, Kowloon Bay, Kwun Tong, Kowloon",91852815,,wangwenguang@conways-hk.com,9 Apr 2021,8 Apr 2026,"01.02 Foundation and Piling | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.09 General Civil Works | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Roadworks | 01.09 General Civil Works :: Marine works | 01.10 Other Structural and Civil Trades :: Pre-stressing system | 01.10 Other Structural and Civil Trades :: Expansion joints | 02.06 Tanking and Waterproofing | 03.08 Heating, Ventilation, and Air-conditioning"
R017318,Yuen Fai Construction Company Limited,71720502,"Room 620, 6/F, Nam Fung Commercial Centre, 19, Lam Lok Street, Kowloon Bay, Kowloon",35795276,,yuenfaisecretary@gmail.com,8 Oct 2021,7 Oct 2026,01.02 Foundation and Piling :: Bored piles
R017643,Fong On Construction Limited,21985481,"6/F, Kai Tak Commercial Building, 317-319, Des Voeux Road Central, Sheung Wan, Central and Western, Hong Kong",28930444,28345887,fof@fong-on.com.hk,1 Jun 2025,31 May 2028,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Others(Socket H Pile) | 01.09 General Civil Works :: Earthwork | 01.09 General Civil Works :: Geotechnical works | 01.09 General Civil Works :: Ground investigation | 04.04 Hoarding
R018112,Vision Foundations Limited,74133198,"Units 2203-04, 22/F, Laford Centre, 838, Lai Chi Kok Road, Sham Shui Po, Kowloon",21560313,37958320,info@vfl.com.hk,10 Feb 2026,9 Feb 2029,01.02 Foundation and Piling :: Bored piles
R018136,Ming Lee Engineering Company Limited,31361843,"Room 02-03, 17/F, Stelux House, 698, Prince Edward Road East, Wong Tai Sin, Kowloon",28816878,28816968,alvinchung@mlf.com.hk,10 Feb 2026,9 Feb 2029,01.02 Foundation and Piling :: Sheet piles | 01.02 Foundation and Piling :: Bored piles | 01.02 Foundation and Piling :: Driven piles | 01.02 Foundation and Piling :: Diaphragm walls | 01.02 Foundation and Piling :: Micro piles | 01.02 Foundation and Piling :: Hand-dug caisson | 01.09 General Civil Works :: Earthwork
